s lambda f_ref adapted2 nu12 gap2 adapted3 nu13 gap3 adapted4 nu14 gap4
0.176666666667 0.957764137780 0.938665169507 0.369862372308 0.135045864506 0.234816507802 0.120538458771 0.013054170213 0.107484288557 0.009890285092 0.000000000000 0.009890285092
0.178333333333 0.956889519869 0.937809210112 0.366906909033 0.133257988333 0.233648920699 0.118229454847 0.012465428195 0.105764026652 0.009166988782 0.000000000000 0.009166988782
0.180000000000 0.956003337141 0.936941932615 0.363945755518 0.131488721273 0.232457034245 0.115930639356 0.011892834721 0.104037804635 0.008467061132 0.000000000000 0.008467061132
0.181666666667 0.955105455737 0.936063206015 0.360979009716 0.129737768898 0.231241240817 0.113642304914 0.011336150611 0.102306154303 0.007790965920 0.000000000000 0.007790965920
0.183333333333 0.954195737904 0.935172895495 0.358006767098 0.128004842518 0.230001924580 0.111364745204 0.010795143426 0.100569601777 0.007139174170 0.000000000000 0.007139174170
0.185000000000 0.953274041842 0.934270862283 0.355029120640 0.126289659001 0.228739461639 0.109098255106 0.010269587318 0.098828667788 0.006512164531 0.000000000000 0.006512164531
0.186666666667 0.952340221551 0.933356963491 0.352046160794 0.124591940593 0.227454220201 0.106843130831 0.009759262875 0.097083867956 0.005910423665 0.000000000000 0.005910423665
0.188333333333 0.951394126665 0.932431051963 0.349057975466 0.122911414749 0.226146560717 0.104599670047 0.009263956980 0.095335713067 0.005334446653 0.000000000000 0.005334446653
0.190000000000 0.950435602282 0.931492976100 0.346064649983 0.121247813963 0.224816836020 0.102368172026 0.008783462676 0.093584709349 0.004784737428 0.000000000000 0.004784737428
0.191666666667 0.949464488782 0.930542579688 0.343066267065 0.119600875612 0.223465391454 0.100148937779 0.008317579039 0.091831358740 0.004261809209 0.000000000000 0.004261809209
0.193333333333 0.948480621637 0.929579701708 0.340062906785 0.117970341789 0.222092564996 0.097942270207 0.007866111054 0.090076159154 0.003766184979 0.000000000000 0.003766184979
0.195000000000 0.947483831206 0.928604176140 0.337054646528 0.116355959158 0.220698687369 0.095748474252 0.007428869505 0.088319604747 0.003298397960 0.000000000000 0.003298397960
0.196666666667 0.946473942529 0.927615831755 0.334041560949 0.114757478798 0.219284082151 0.093567857048 0.007005670869 0.086562186178 0.002858992135 0.000000000000 0.002858992135
0.198333333333 0.945450775100 0.926614491898 0.331023721925 0.113174656058 0.217849065868 0.091400728087 0.006596337214 0.084804390873 0.002448522776 0.000000000000 0.002448522776
0.200000000000 0.944414142630 0.925599974254 0.328001198498 0.111607250411 0.216393948087 0.089247399385 0.006200696106 0.083046703279 0.002067557011 0.000000000000 0.002067557011
0.201666666667 0.943363852800 0.924572090607 0.324974056816 0.110055025319 0.214919031497 0.087108185653 0.005818580525 0.081289605128 0.001716674412 0.000000000000 0.001716674412
0.203333333333 0.942299706993 0.923530646577 0.321942360072 0.108517748088 0.213424611984 0.084983404477 0.005449828784 0.079533575693 0.001396467620 0.000000000000 0.001396467620
0.205000000000 0.941221500021 0.922475441354 0.318906168432 0.106995189735 0.211910978697 0.082873376503 0.005094284456 0.077779092047 0.001107542999 0.000000000000 0.001107542999
0.206666666667 0.940129019824 0.921406267402 0.315865538960 0.105487124858 0.210378414102 0.080778425633 0.004751796310 0.076026629324 0.000850521322 0.000000000000 0.000850521322
0.208333333333 0.939022047162 0.920322910156 0.312820525532 0.103993331497 0.208827194035 0.078698879223 0.004422218245 0.074276660978 0.000626038504 0.000000000000 0.000626038504
0.210000000000 0.937900355277 0.919225147698 0.309771178749 0.102513591010 0.207257587739 0.076635068294 0.004105409247 0.072529659047 0.000434746367 0.000000000000 0.000434746367
0.211666666667 0.936763709547 0.918112750410 0.306717545839 0.101047687941 0.205669857898 0.074587327750 0.003801233332 0.070786094418 0.000277313453 0.000000000000 0.000277313453
0.213333333333 0.935611867110 0.916985480612 0.303659670550 0.099595409894 0.204064260656 0.072555996608 0.003509559516 0.069046437092 0.000154425881 0.000000000000 0.000154425881
0.215000000000 0.934444576466 0.915843092168 0.300597593033 0.098156547403 0.202441045630 0.070541418235 0.003230261775 0.067311156460 0.000066788258 0.000000000000 0.000066788258
0.216666666667 0.933261577054 0.914685330077 0.297531349725 0.096730893812 0.200800455913 0.068543940600 0.002963219026 0.065580721575 0.000015124642 0.000000000000 0.000015124642
0.218333333333 0.932062598806 0.913511930032 0.294460973204 0.095318245140 0.199142728064 0.066563916535 0.002708315103 0.063855601431 0.000000000000 0.000000000000 0.000000000000
0.220000000000 0.930847361664 0.912322617948 0.291386492053 0.093918399962 0.197468092091 0.064601704011 0.002465438755 0.062136265256 0.000000000000 0.000000000000 0.000000000000
0.221666666667 0.929615575070 0.911117109469 0.288307930696 0.092531159281 0.195776771415 0.062657666428 0.002234483633 0.060423182794 0.000000000000 0.000000000000 0.000000000000
